Time (ms),Angle (deg),Buzzer State
1205,94,0
1541,113,0
1878,113,0
2213,120,0
2549,119,0
2884,86,0
3219,60,0
3554,31,0
3889,28,0
4224,12,1
4559,10,1
4894,23,0
5229,81,0
5564,81,0
5900,80,0
6235,84,0
6571,103,0
6906,119,0
7242,140,0
7578,145,1
7915,141,1
8251,119,0
8586,87,0
8920,41,0
9254,23,0
9590,19,1
9925,14,1
10260,28,0
10595,75,0
10930,83,0
11266,82,0
11600,80,0
11935,82,0
12270,82,0
12606,90,0
12941,96,0
13277,116,0
13613,128,0
13948,137,0
14285,150,1
14621,145,1
14956,77,0
15291,56,0
15626,28,0
15960,4,1
16294,0,1
16628,2,1
16963,37,0
17298,66,0
17634,69,0
17969,78,0
18305,104,0
18640,108,0
18976,132,0
19312,132,0
19649,146,1
19985,150,1
20321,122,0
20657,101,0
20993,99,0
21327,99,0
21662,86,0
21997,68,0
22332,51,0
22667,42,0
23002,30,0
23337,23,0
23672,16,1
24008,16,1
24343,40,0
24678,66,0
25013,73,0
25348,80,0
25682,81,0
26018,81,0
26353,80,0
26688,81,0
27024,81,0
27359,83,0
27694,82,0
28029,83,0
28364,84,0
